date,open,high,low,close
2022-02-02 03:48:00,28547.87,28553.3,28540.91,28540.91
2022-02-02 03:49:00,28552.81,28552.81,28552.81,28552.81
2022-02-02 03:50:00,28552.78,28579.26,28552.78,28563.98
2022-02-02 03:51:00,28563.4,28567.1,28555.53,28563.78
2022-02-02 03:52:00,28562.23,28570.19,28553.51,28553.51
2022-02-02 03:53:00,28556.28,28556.28,28554.49,28554.49
2022-02-02 03:54:00,28554.49,28561.53,28554.48,28556.0
2022-02-02 03:55:00,28556.25,28556.25,28549.95,28551.32
2022-02-02 03:56:00,28557.23,28559.72,28543.99,28543.99
2022-02-02 03:57:00,28540.66,28543.41,28540.66,28542.55
2022-02-02 03:58:00,28546.63,28549.05,28545.63,28546.84
2022-02-02 03:59:00,28546.66,28546.66,28538.16,28545.03
2022-02-02 04:00:00,28538.35,28538.35,28514.64,28514.64
2022-02-02 04:01:00,28507.09,28507.09,28488.06,28495.09
2022-02-02 04:02:00,28503.61,28505.71,28498.47,28503.42
2022-02-02 04:03:00,28494.24,28494.24,28482.92,28482.92
2022-02-02 04:04:00,28486.78,28497.42,28486.78,28497.42
2022-02-02 04:05:00,28496.45,28497.05,28486.54,28489.53
2022-02-02 04:06:00,28483.46,28492.41,28467.57,28470.49
2022-02-02 04:07:00,28472.96,28483.78,28466.81,28466.81
2022-02-02 04:08:00,28475.18,28475.18,28458.28,28458.28
2022-02-02 04:09:00,28458.2,28462.76,28449.99,28449.99
2022-02-02 04:10:00,28454.19,28470.38,28447.67,28464.4
2022-02-02 04:11:00,28456.93,28456.93,28443.26,28455.06
2022-02-02 04:12:00,28456.73,28456.73,28434.82,28434.82
2022-02-02 04:13:00,28440.67,28452.86,28440.67,28452.86
2022-02-02 04:14:00,28451.87,28451.87,28438.12,28447.73
2022-02-02 04:15:00,28440.51,28451.28,28440.51,28451.28
2022-02-02 04:16:00,28449.21,28465.87,28448.64,28465.87
2022-02-02 04:17:00,28483.05,28493.55,28466.76,28466.76
2022-02-02 04:18:00,28462.46,28473.3,28458.83,28464.14
2022-02-02 04:19:00,28462.44,28481.83,28462.44,28481.83
